??,??,??
metal_supports,lab jacks,10
metal_supports,pipette stands,10
metal_supports,test tube holders,9
metal_supports,test tube racks,10
metal_supports,tripods,10
plastics,bottle top filters,12
plastics,cell culture flasks,12
plastics,centrifuge tubes,12
plastics,cryogenic vials,9
plastics,multiwell plates,12
plastics,pcr tubes,5
plastics,petri dishes,12
plastics,pipette tips,3
plastics,plastic funnels labware,12
plastics,plastic reagent bottles,13
plastics,reagent reservoirs,11
plastics,sample vials,12
plastics,serological pipettes,3
plastics,spray bottles,12
plastics,syringe filters,4
plastics,transfer pipettes,4
plastics,wash bottles,14
plastics,weighing boats,4
safety,aed defibrillators,6
safety,emergency showers,6
safety,eyewash stations,9
safety,face shields,5
safety,fire blankets,5
safety,fire extinguishers,4
safety,first aid kits,14
safety,gas detectors,15
safety,glove boxes safety,3
safety,lab coats,2
safety,safety goggles,4
safety,safety signage,15
safety,spill kits,13
safety,waste containers,15
synthesis,autoclave reactors,14
synthesis,ball mills,15
synthesis,circulating chillers,15
synthesis,electrospinning setups,5
synthesis,flow chemistry,15
synthesis,glove boxes,15
synthesis,homogenizers,15
synthesis,hydrogenation apparatus,13
synthesis,overhead stirrers,15
synthesis,peristaltic pumps,15
synthesis,photoreactors,15
synthesis,rotary evaporators,13
synthesis,schlenk lines,13
synthesis,solvent purification,14
synthesis,spray dryers,15
synthesis,syringe pumps,14
synthesis,ultrasonic cleaners,15
synthesis,ultrasonic processors,15
tubing_connectors,glass tubing pieces,2
tubing_connectors,ground glass adapters,2
tubing_connectors,hose barb connectors,2
tubing_connectors,luer fittings,2
tubing_connectors,ptfe tubing,2
tubing_connectors,pvc tubing,2
tubing_connectors,tubing clamps,2
wet_chemistry_glassware,beakers,15
wet_chemistry_glassware,buchner funnels,15
wet_chemistry_glassware,chromatography columns,15
wet_chemistry_glassware,condensers,15
wet_chemistry_glassware,desiccators,15
wet_chemistry_glassware,distillation adapters,15
wet_chemistry_glassware,dropping funnels,14
wet_chemistry_glassware,drying tubes,2
wet_chemistry_glassware,erlenmeyer flasks,13
wet_chemistry_glassware,filter flasks,14
wet_chemistry_glassware,flat bottom flasks,15
wet_chemistry_glassware,fractionating columns,15
wet_chemistry_glassware,gas washing bottles,15
wet_chemistry_glassware,glass tubing and rods,2
wet_chemistry_glassware,graduated cylinders,15
wet_chemistry_glassware,pear shaped flasks,14
wet_chemistry_glassware,reagent bottles glass,15
wet_chemistry_glassware,round bottom flasks,15
wet_chemistry_glassware,separatory funnels,15
wet_chemistry_glassware,sintered funnels,15
wet_chemistry_glassware,soxhlet extractors,15
wet_chemistry_glassware,specific gravity bottles,2
wet_chemistry_glassware,test tubes,14
wet_chemistry_glassware,volumetric flasks,15
wet_chemistry_glassware,watch glasses crystallization,2
wet_chemistry_glassware,weighing bottles,2
